uid,sentence,sense_keys,glosses,target
d001.s038.t009,"Madden , with his investigation centered on the fraud , said that tomorrow he would go to the Bronx bank through which Mrs. Meeker 's checks to [TGT] Johnston [TGT] had cleared .","['person%1:08:00::', 'person%1:10:00::', 'person%1:03:00::']","['a human body (usually including the clothing)', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being']",[2]
d001.s038.t010,"Madden , with his investigation centered on the fraud , said that tomorrow he would go to the Bronx bank through which Mrs. Meeker 's checks to Johnston had [TGT] cleared [TGT] .","['clear%2:40:07::', 'clear%2:40:00::', 'clear%2:41:01::', 'clear%2:40:03::']","['be debited and credited to the proper bank accounts', 'earn on some commercial or business transaction; earn as salary or wages', 'go unchallenged; be approved', 'yield as a net profit']",[0]
d001.s039.t000,"[TGT] Arthur Williams [TGT] had to be located , they agreed .","['person%1:10:00::', 'person%1:03:00::', 'person%1:08:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being', 'a human body (usually including the clothing)']",[1]
d001.s039.t001,"Arthur Williams had to be [TGT] located [TGT] , they agreed .","['locate%2:40:01::', 'locate%2:40:00::', 'locate%2:42:00::', 'locate%2:30:00::']","['assign a location to', 'discover the location of; determine the place of; find by searching or examining', 'determine or indicate the place, site, or limits of, as if by an instrument or by a survey', 'take up residence and become established']",[1]
d001.s039.t002,"Arthur Williams had to be located , they [TGT] agreed [TGT] .","['agree%2:32:04::', 'agree%2:32:01::', 'agree%2:42:03::', 'agree%2:32:00::']","['achieve harmony of opinion, feeling, or purpose', 'consent or assent to a condition, or agree to do something', 'show grammatical agreement', 'be in accord; be in agreement']",[3]
d001.s040.t000,He might have [TGT] been [TGT] in collusion with Johnston on the fraud ; he might be Mrs. Meeker 's murderer or have played some part in her death .,"['be%2:42:00::', 'be%2:40:00::', 'be%2:42:06::', 'be%2:42:03::']","['have an existence, be extant', 'spend or use time', 'be identical to; be someone or something', 'have the quality of being; (copula, used with an adjective or a predicate noun)']",[3]
d001.s040.t001,He might have been in [TGT] collusion [TGT] with Johnston on the fraud ; he might be Mrs. Meeker 's murderer or have played some part in her death .,"['collusion%1:10:00::', 'collusion%1:09:00::']","['agreement on a secret plot', 'secret agreement']",[1]
d001.s040.t002,He might have been in collusion with [TGT] Johnston [TGT] on the fraud ; he might be Mrs. Meeker 's murderer or have played some part in her death .,"['person%1:08:00::', 'person%1:03:00::', 'person%1:10:00::']","['a human body (usually including the clothing)', 'a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party']",[1]
d001.s040.t003,He might have been in collusion with Johnston on the [TGT] fraud [TGT] ; he might be Mrs. Meeker 's murderer or have played some part in her death .,"['fraud%1:04:00::', 'fraud%1:04:01::', 'fraud%1:18:00::']","['intentional deception resulting in injury to another person', 'something intended to deceive; deliberate trickery intended to gain an advantage', 'a person who makes deceitful pretenses']",[0]
d001.s040.t004,He might have been in collusion with Johnston on the fraud ; he might [TGT] be [TGT] Mrs. Meeker 's murderer or have played some part in her death .,"['be%2:42:01::', 'be%2:42:04::', 'be%2:42:06::', 'be%2:42:00::']","['have life, be alive', 'happen, occur, take place', 'be identical to; be someone or something', 'have an existence, be extant']",[2]
d001.s040.t005,He might have been in collusion with Johnston on the fraud ; he might be [TGT] Mrs. Meeker [TGT] 's murderer or have played some part in her death .,"['person%1:03:00::', 'person%1:10:00::', 'person%1:08:00::']","['a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)']",[0]
d001.s040.t006,He might have been in collusion with Johnston on the fraud ; he might be Mrs. Meeker 's [TGT] murderer [TGT] or have played some part in her death .,['murderer%1:18:00::'],['a criminal who commits homicide (who performs the unlawful premeditated killing of another human being)'],[0]
d001.s040.t007,He might have been in collusion with Johnston on the fraud ; he might be Mrs. Meeker 's murderer or have [TGT] played [TGT] some part in her death .,"['play%2:41:13::', 'play%2:36:00::', 'play%2:36:05::', 'play%2:41:12::']","['behave carelessly or indifferently', 'replay (as a melody)', 'cause to emit recorded audio or video', 'act or have an effect in a specified way or with a specific effect or outcome']",[3]
d001.s040.t008,He might have been in collusion with Johnston on the fraud ; he might be Mrs. Meeker 's murderer or have played some [TGT] part [TGT] in her death .,"['part%1:04:03::', 'part%1:04:01::', 'part%1:09:00::', 'part%1:09:01::']","['the part played by a person in bringing about a result', 'the actions and activities assigned to or required or expected of a person or group', 'one of the portions into which something is regarded as divided and which together constitute a whole', ""an actor's portrayal of someone in a play""]",[1]
d001.s040.t009,He might have been in collusion with Johnston on the fraud ; he might be Mrs. Meeker 's murderer or have played some part in her [TGT] death [TGT] .,"['death%1:11:00::', 'death%1:26:00::', 'death%1:28:00::', 'death%1:19:00::']","['the event of dying or departure from life', 'the absence of life or state of being dead', 'the time when something ends', 'the permanent end of all life functions in an organism or part of an organism']",[3]
d001.s041.t000,This [TGT] was [TGT] Madden 's suggestion ; the police chief shook his head over it .,"['be%2:42:03::', 'be%2:42:00::', 'be%2:42:06::', 'be%2:42:02::']","['have the quality of being; (copula, used with an adjective or a predicate noun)', 'have an existence, be extant', 'be identical to; be someone or something', 'form or compose']",[2]
d001.s041.t001,This was [TGT] Madden [TGT] 's suggestion ; the police chief shook his head over it .,"['person%1:08:00::', 'person%1:10:00::', 'person%1:03:00::']","['a human body (usually including the clothing)', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being']",[2]
d001.s041.t002,This was Madden 's [TGT] suggestion [TGT] ; the police chief shook his head over it .,"['suggestion%1:10:01::', 'suggestion%1:10:00::', 'suggestion%1:23:00::', 'suggestion%1:09:00::']","['persuasion formulated as a suggestion', 'a proposal offered for acceptance or rejection', 'a just detectable amount', 'an idea that is suggested']",[3]
d001.s041.t003,This was Madden 's suggestion ; the [TGT] police chief [TGT] shook his head over it .,['police_chief%1:18:00::'],['a policeman in charge of a precinct'],[0]
d001.s041.t004,This was Madden 's suggestion ; the police chief [TGT] shook [TGT] his head over it .,"['shake%2:38:02::', 'shake%2:38:01::', 'shake%2:30:00::', 'shake%2:38:00::']","['move back and forth or sideways', 'shake or vibrate rapidly and intensively', 'undermine or cause to waver', 'move or cause to move back and forth']",[3]
d001.s041.t005,This was Madden 's suggestion ; the police chief shook his [TGT] head [TGT] over it .,"['head%1:10:01::', 'head%1:10:02::', 'head%1:18:01::', 'head%1:08:00::']","['a V-shaped mark at one end of an arrow pointer', 'the subject matter at issue', 'the educator who has executive authority for a school', 'the upper part of the human body or the front part of the body in animals; contains the face and brains']",[3]
d001.s042.t000,"If [TGT] Arthur Williams [TGT] was involved in the fraud or the murder , then he too had another identity .","['person%1:08:00::', 'person%1:03:00::', 'person%1:10:00::']","['a human body (usually including the clothing)', 'a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party']",[1]
d001.s042.t001,"If Arthur Williams [TGT] was [TGT] involved in the fraud or the murder , then he too had another identity .","['be%2:42:03::', 'be%2:42:02::', 'be%2:42:07::', 'be%2:42:01::']","['have the quality of being; (copula, used with an adjective or a predicate noun)', 'form or compose', 'be identical or equivalent to', 'have life, be alive']",[0]
d001.s042.t002,"If Arthur Williams was [TGT] involved [TGT] in the fraud or the murder , then he too had another identity .","['involved%3:00:00::', 'involved%5:00:00:complex:00', 'involved%5:00:00:attached:01', 'involved%5:00:00:enclosed:00']","['connected by participation or association or use', 'highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott', 'emotionally involved', 'enveloped']",[0]
d001.s042.t003,"If Arthur Williams was involved in the [TGT] fraud [TGT] or the murder , then he too had another identity .","['fraud%1:18:00::', 'fraud%1:04:01::', 'fraud%1:04:00::']","['a person who makes deceitful pretenses', 'something intended to deceive; deliberate trickery intended to gain an advantage', 'intentional deception resulting in injury to another person']",[2]
d001.s042.t004,"If Arthur Williams was involved in the fraud or the [TGT] murder [TGT] , then he too had another identity .",['murder%1:04:00::'],['unlawful premeditated killing of a human being by a human being'],[0]
d001.s042.t005,"If Arthur Williams was involved in the fraud or the murder , [TGT] then [TGT] he too had another identity .","['then%4:02:01::', 'then%4:02:02::', 'then%4:02:00::']","['at that time', 'in that case or as a consequence', 'subsequently or soon afterward (often used as sentence connectors)']",[1]
d001.s042.t006,"If Arthur Williams was involved in the fraud or the murder , then he [TGT] too [TGT] had another identity .","['too%4:02:01::', 'too%4:02:00::']","['in addition', 'to a degree exceeding normal or proper limits']",[0]
d001.s042.t007,"If Arthur Williams was involved in the fraud or the murder , then he too [TGT] had [TGT] another identity .","['have%2:40:00::', 'have%2:40:05::', 'have%2:35:00::', 'have%2:42:00::']","['have or possess, either in a concrete or an abstract sense', 'receive willingly something given or offered', 'have sex with; archaic use', 'have as a feature']",[0]
d001.s042.t008,"If Arthur Williams was involved in the fraud or the murder , then he too had another [TGT] identity [TGT] .","['identity%1:24:01::', 'identity%1:07:02::', 'identity%1:07:00::', 'identity%1:09:00::']","['an operator that leaves unchanged the element on which it operates', 'exact sameness', 'the distinct personality of an individual regarded as a persisting entity', 'the individual characteristics by which a thing or person is recognized or known']",[2]
d001.s043.t000,No one the [TGT] Medfield [TGT] police had questioned professed to know any more about him than about Johnston .,"['location%1:04:02::', 'location%1:06:00::', 'location%1:03:00::', 'location%1:04:01::']","['the act of putting something in a certain place', 'a workplace away from a studio at which some or all of a movie may be made', 'a point or extent in space', 'a determination of the place where something is']",[2]
d001.s043.t001,No one the Medfield [TGT] police [TGT] had questioned professed to know any more about him than about Johnston .,['police%1:14:00::'],['the force of policemen and officers'],[0]
d001.s043.t002,No one the Medfield police had [TGT] questioned [TGT] professed to know any more about him than about Johnston .,"['question%2:32:03::', 'question%2:32:00::', 'question%2:32:02::', 'question%2:32:01::']","['pose a series of questions to', 'pose a question', 'place in doubt or express doubtful speculation', 'challenge the accuracy, probity, or propriety of']",[0]
d001.s043.t003,No one the Medfield police had questioned [TGT] professed [TGT] to know any more about him than about Johnston .,"['profess%2:32:03::', 'profess%2:32:01::', 'profess%2:32:02::', 'profess%2:32:04::']","[""confess one's faith in, or allegiance to"", 'take vows, as in religious order', 'admit (to a wrongdoing)', 'state insincerely']",[2]
d001.s043.t004,No one the Medfield police had questioned professed to [TGT] know [TGT] any more about him than about Johnston .,"['know%2:31:12::', 'know%2:35:00::', 'know%2:31:00::', 'know%2:31:15::']","['be able to distinguish, recognize as being different', 'have sexual intercourse with', 'be familiar or acquainted with a person or an object', 'have fixed in the mind']",[2]
d001.s043.t005,No one the Medfield police had questioned professed to know [TGT] any [TGT] more about him than about Johnston .,['any%5:00:00:some:00'],['one or some or every or all without specification'],[0]
d001.s043.t006,No one the Medfield police had questioned professed to know any [TGT] more [TGT] about him than about Johnston .,"['more%3:00:02::', 'more%3:00:01::']","[""(comparative of `many' used with count nouns) quantifier meaning greater in number"", ""(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree""]",[0]
d001.s043.t007,No one the Medfield police had questioned professed to know any more about him than about [TGT] Johnston [TGT] .,"['person%1:03:00::', 'person%1:10:00::', 'person%1:08:00::']","['a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)']",[0]
d001.s044.t000,[TGT] Scholarship [TGT] applicant ?,"['scholarship%1:21:00::', 'scholarship%1:09:00::']","['financial aid provided to a student on the basis of academic merit', 'profound scholarly knowledge']",[0]
d001.s044.t001,Scholarship [TGT] applicant [TGT] ?,['applicant%1:18:00::'],['a person who requests or seeks something such as assistance or employment or admission'],[0]
d001.s045.t000,[TGT] Pauling [TGT] looked doubtful .,"['person%1:10:00::', 'person%1:08:00::', 'person%1:03:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)', 'a human being']",[2]
d001.s045.t001,Pauling [TGT] looked [TGT] doubtful .,"['look%2:39:02::', 'look%2:42:00::', 'look%2:29:00::', 'look%2:39:01::']","['search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'have a certain outward or facial expression', 'give a certain impression or have a certain outward aspect']",[2]
d001.s045.t002,Pauling looked [TGT] doubtful [TGT] .,"['doubtful%5:00:00:unsettled:02', 'doubtful%5:00:00:questionable:00', 'doubtful%5:00:00:uncertain:02']","['unsettled in mind or opinion', 'open to doubt or suspicion; ; ; ; - Karen Horney', 'fraught with uncertainty or doubt']",[2]
d001.s046.t000,[TGT] Madden [TGT] explained that he was thinking of an application sent directly to Mrs. Meeker .,"['person%1:03:00::', 'person%1:10:00::', 'person%1:08:00::']","['a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)']",[0]
d001.s046.t001,Madden [TGT] explained [TGT] that he was thinking of an application sent directly to Mrs. Meeker .,"['explain%2:32:01::', 'explain%2:32:00::', 'explain%2:32:02::']","['define', 'make plain and comprehensible', 'serve as a reason or cause or justification of']",[0]
d001.s046.t002,Madden explained that he was [TGT] thinking of [TGT] an application sent directly to Mrs. Meeker .,"['think_of%2:31:04::', 'think_of%2:31:02::', 'think_of%2:31:01::', 'think_of%2:31:00::']","[""choose in one's mind"", 'intend to refer to', 'look on as or consider', 'keep in mind for attention or consideration']","[3, 1]"
d001.s046.t003,Madden explained that he was thinking of an [TGT] application [TGT] sent directly to Mrs. Meeker .,"['application%1:10:00::', 'application%1:04:01::', 'application%1:04:03::', 'application%1:10:01::']","['a verbal or written request for assistance or employment or admission to a school', 'a diligent effort', 'the work of applying something', 'a program that gives a computer instructions that provide the user with tools to accomplish a task']",[0]
d001.s046.t004,Madden explained that he was thinking of an application [TGT] sent [TGT] directly to Mrs. Meeker .,"['send%2:32:00::', 'send%2:32:02::', 'send%2:35:00::', 'send%2:33:00::']","['cause to be directed or transmitted to another place', 'transfer', 'to cause or order to be taken, directed, or transmitted to another place', 'assign to a station']",[0]
d001.s046.t005,Madden explained that he was thinking of an application sent [TGT] directly [TGT] to Mrs. Meeker .,"['directly%4:02:00::', 'directly%4:02:07::', 'directly%4:02:05::', 'directly%4:02:01::']","['without deviation', 'without delay or hesitation; with no time intervening', 'without anyone or anything intervening', 'in a forthright manner; candidly or frankly']",[0]
d001.s046.t006,Madden explained that he was thinking of an application sent directly to [TGT] Mrs. Meeker [TGT] .,"['person%1:08:00::', 'person%1:10:00::', 'person%1:03:00::']","['a human body (usually including the clothing)', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being']",[2]
d001.s047.t000,"[TGT] Then [TGT] he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['then%4:02:01::', 'then%4:02:00::', 'then%4:02:02::']","['at that time', 'subsequently or soon afterward (often used as sentence connectors)', 'in that case or as a consequence']",[1]
d001.s047.t001,"Then he [TGT] asked [TGT] to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['ask%2:32:04::', 'ask%2:32:01::', 'ask%2:32:09::', 'ask%2:32:05::']","['address a question to and expect an answer from', 'make a request or demand for something to somebody', 'require or ask for as a price or condition', 'consider obligatory; request and expect']",[1]
d001.s047.t002,"Then he asked to [TGT] use [TGT] the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['use%2:34:00::', 'use%2:41:04::', 'use%2:34:01::', 'use%2:34:02::']","['use up, consume fully', 'avail oneself to', 'put into service; make work or employ for a particular purpose or for its inherent or natural purpose', 'take or consume (regularly or habitually)']",[2]
d001.s047.t003,"Then he asked to use the [TGT] phone [TGT] and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['phone%1:06:01::', 'phone%1:10:00::', 'phone%1:06:00::']","['electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear', '(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language', 'electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds']",[2]
d001.s047.t004,"Then he asked to use the phone and [TGT] called [TGT] Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['call%2:32:09::', 'call%2:31:00::', 'call%2:32:06::', 'call%2:32:01::']","['utter a sudden loud cry', 'challenge the sincerity or truthfulness of', 'indicate a decision in regard to', 'get or try to get into communication (with someone) by telephone']",[3]
d001.s047.t005,"Then he asked to use the phone and called [TGT] Brian Thayer [TGT] , who said that he was just leaving to keep a lunch date but would be home by two o ' clock .","['person%1:10:00::', 'person%1:03:00::', 'person%1:08:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being', 'a human body (usually including the clothing)']",[1]
d001.s047.t006,"Then he asked to use the phone and called Brian Thayer , who [TGT] said [TGT] that he was just leaving to keep a lunch date but would be home by two o ' clock .","['say%2:32:07::', 'say%2:32:08::', 'say%2:32:15::', 'say%2:32:00::']","['communicate or express nonverbally', 'recite or repeat a fixed text', 'utter aloud', 'express in words']",[3]
d001.s047.t007,"Then he asked to use the phone and called Brian Thayer , who said that he was [TGT] just [TGT] leaving to keep a lunch date but would be home by two o ' clock .","['just%4:02:04::', 'just%4:02:01::', 'just%4:02:03::', 'just%4:02:00::']","['only a very short time before; ; ; ; ; - W.B.Yeats', 'only a moment ago', 'absolutely', 'and nothing more']",[1]
d001.s047.t008,"Then he asked to use the phone and called Brian Thayer , who said that he was just [TGT] leaving [TGT] to keep a lunch date but would be home by two o ' clock .","['leave%2:40:01::', 'leave%2:30:03::', 'leave%2:38:01::', 'leave%2:38:00::']","[""leave or give by will after one's death"", ""be survived by after one's death"", 'go away from a place', 'move out of or depart from']",[2]
d001.s047.t009,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to [TGT] keep [TGT] a lunch date but would be home by two o ' clock .","['keep%2:41:03::', 'keep%2:42:03::', 'keep%2:42:00::', 'keep%2:41:01::']","[""conform one's action or practice to"", 'fail to spoil or rot', 'keep in a certain state, position, or activity; e.g.,', 'stop (someone or something) from doing something or being in a certain state']",[0]
d001.s047.t010,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a [TGT] lunch [TGT] date but would be home by two o ' clock .",['lunch%1:13:00::'],['a midday meal'],[0]
d001.s047.t011,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch [TGT] date [TGT] but would be home by two o ' clock .","['date%1:28:03::', 'date%1:13:00::', 'date%1:14:00::', 'date%1:28:02::']","['the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred', 'sweet edible fruit of the date palm with a single long woody seed', 'a meeting arranged in advance', 'the present']",[2]
d001.s047.t012,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would [TGT] be [TGT] home by two o ' clock .","['be%2:42:07::', 'be%2:42:05::', 'be%2:42:01::', 'be%2:42:13::']","['be identical or equivalent to', 'occupy a certain position or area; be somewhere', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form']",[1]
d001.s047.t013,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be [TGT] home [TGT] by two o ' clock .","['home%4:02:03::', 'home%4:02:01::', 'home%4:02:04::']","['to the fullest extent; to the heart', ""at or to or in the direction of one's home or family"", 'on or to the point aimed at']",[1]
d001.s047.t014,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by [TGT] two [TGT] o ' clock .","['two%1:23:00::', 'two%1:06:00::']","['the cardinal number that is the sum of one and one or a numeral representing this number', 'one of the four playing cards in a deck that have two spots']",[0]
d001.s047.t015,"Then he asked to use the phone and called Brian Thayer , who said that he was just leaving to keep a lunch date but would be home by two o ' [TGT] clock [TGT] .","[""o'clock%4:02:00::""]",['according to the clock'],[0]
d001.s048.t000,"[TGT] Madden [TGT] said that he would see him at two and made another call , this one to Mrs. Meeker 's lawyers .","['person%1:10:00::', 'person%1:08:00::', 'person%1:03:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)', 'a human being']",[2]
d001.s048.t001,"Madden [TGT] said [TGT] that he would see him at two and made another call , this one to Mrs. Meeker 's lawyers .","['say%2:32:02::', 'say%2:32:15::', 'say%2:42:00::', 'say%2:32:00::']","['speak, pronounce, or utter in a certain way', 'utter aloud', 'have or contain a certain wording or form', 'express in words']",[3]
d001.s048.t002,"Madden said that he would [TGT] see [TGT] him at two and made another call , this one to Mrs. Meeker 's lawyers .","['see%2:41:12::', 'see%2:33:00::', 'see%2:39:12::', 'see%2:38:03::']","['go to see for a social visit', 'match or meet', 'go or live through', 'accompany or escort']",[0]
d001.s048.t003,"Madden said that he would see him at [TGT] two [TGT] and made another call , this one to Mrs. Meeker 's lawyers .","['two%1:06:00::', 'two%1:23:00::']","['one of the four playing cards in a deck that have two spots', 'the cardinal number that is the sum of one and one or a numeral representing this number']",[1]
d001.s048.t004,"Madden said that he would see him at two and made another [TGT] call [TGT] , this one to Mrs. Meeker 's lawyers .","['call%1:10:03::', 'call%1:10:07::', 'call%1:10:01::', 'call%1:04:00::']","['the characteristic sound produced by a bird', 'an instruction that interrupts the program being executed', 'a telephone connection', '(sports) the decision made by an umpire or referee']",[2]
d001.s048.t005,"Madden said that he would see him at two and made another call , this one to [TGT] Mrs. Meeker [TGT] 's lawyers .","['person%1:08:00::', 'person%1:10:00::', 'person%1:03:00::']","['a human body (usually including the clothing)', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being']",[2]
d001.s048.t006,"Madden said that he would see him at two and made another call , this one to Mrs. Meeker 's [TGT] lawyers [TGT] .",['lawyer%1:18:00::'],['a professional person authorized to practice law; conducts lawsuits or gives legal advice'],[0]
d001.s049.t000,"[TGT] Mr. Hohlbein [TGT] was out for the day , but Mr. Garth would be free at one-thirty .","['person%1:03:00::', 'person%1:08:00::', 'person%1:10:00::']","['a human being', 'a human body (usually including the clothing)', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party']",[0]
d001.s049.t001,"Mr. Hohlbein [TGT] was [TGT] out for the day , but Mr. Garth would be free at one-thirty .","['be%2:42:05::', 'be%2:42:13::', 'be%2:42:03::', 'be%2:42:01::']","['occupy a certain position or area; be somewhere', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'have the quality of being; (copula, used with an adjective or a predicate noun)', 'have life, be alive']",[0]
d001.s049.t002,"Mr. Hohlbein was out for the [TGT] day [TGT] , but Mr. Garth would be free at one-thirty .","['day%1:28:02::', 'day%1:28:04::', 'day%1:18:00::', 'day%1:28:07::']","['the time after sunrise and before sunset while it is light outside', 'the recurring hours when you are not sleeping (especially those when you are working)', 'United States writer best known for his autobiographical works (1874-1935)', 'the period of time taken by a particular planet (e.g. Mars) to make a complete rotation on its axis']",[1]
d001.s049.t003,"Mr. Hohlbein was out for the day , but [TGT] Mr. Garth [TGT] would be free at one-thirty .","['person%1:03:00::', 'person%1:10:00::', 'person%1:08:00::']","['a human being', 'a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)']",[0]
d001.s049.t004,"Mr. Hohlbein was out for the day , but Mr. Garth would [TGT] be [TGT] free at one-thirty .","['be%2:42:05::', 'be%2:42:00::', 'be%2:42:03::', 'be%2:42:02::']","['occupy a certain position or area; be somewhere', 'have an existence, be extant', 'have the quality of being; (copula, used with an adjective or a predicate noun)', 'form or compose']",[2]
d001.s049.t005,"Mr. Hohlbein was out for the day , but Mr. Garth would be [TGT] free [TGT] at one-thirty .","['free%5:00:00:nonexistent:00', 'free%5:00:00:inexact:00', 'free%5:00:02:unoccupied:00', 'free%5:00:00:unfixed:00']","['completely wanting or lacking', 'not literal', 'not occupied or in use', 'not fixed in position']",[2]
d001.s050.t000,The [TGT] secretary [TGT] 's tone indicated that an appointment at such short notice was a concession for which Madden should be duly grateful .,"['secretary%1:06:00::', 'secretary%1:18:02::', 'secretary%1:18:01::', 'secretary%1:18:00::']","['a desk used for writing', 'a person to whom a secret is entrusted', 'a person who is head of an administrative department of government', 'an assistant who handles correspondence and clerical work for a boss or an organization']",[3]
d001.s050.t001,The secretary 's [TGT] tone [TGT] indicated that an appointment at such short notice was a concession for which Madden should be duly grateful .,"['tone%1:07:01::', 'tone%1:09:00::', 'tone%1:10:01::', 'tone%1:26:02::']","['(music) the distinctive property of a complex sound (a voice or noise or musical sound)', 'a steady sound without overtones', ""the quality of a person's voice"", 'the elastic tension of living muscles, arteries, etc. that facilitate response to stimuli']",[2]
d001.s050.t002,The secretary 's tone [TGT] indicated [TGT] that an appointment at such short notice was a concession for which Madden should be duly grateful .,"['indicate%2:32:00::', 'indicate%2:32:01::', 'indicate%2:32:03::', 'indicate%2:32:04::']","['to state or express briefly', 'be a signal for or a symptom of', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'suggest the necessity of an intervention; in medicine']",[1]
d001.s050.t003,The secretary 's tone indicated that an [TGT] appointment [TGT] at such short notice was a concession for which Madden should be duly grateful .,"['appointment%1:04:00::', 'appointment%1:14:00::', 'appointment%1:18:00::', 'appointment%1:06:00::']","['the act of putting a person into a non-elective position', 'a meeting arranged in advance', 'a person who is appointed to a job or position', '(usually plural) furnishings and equipment (especially for a ship or hotel)']",[1]
d001.s050.t004,The secretary 's tone indicated that an appointment at [TGT] such [TGT] short notice was a concession for which Madden should be duly grateful .,['such%4:02:00::'],['to so extreme a degree'],[0]
d001.s050.t005,The secretary 's tone indicated that an appointment at such [TGT] short [TGT] notice was a concession for which Madden should be duly grateful .,"['short%3:00:05::', 'short%3:00:02::', 'short%5:00:02:insufficient:00', 'short%3:00:03::']","['not holding securities or commodities that one sells in expectation of a fall in prices', 'primarily temporal sense; indicating or being or seeming to be limited in duration', 'less than the correct or legal or full amount often deliberately so', 'low in stature; not tall']",[1]
d001.s050.t006,The secretary 's tone indicated that an appointment at such short [TGT] notice [TGT] was a concession for which Madden should be duly grateful .,"['notice%1:10:01::', 'notice%1:09:01::', 'notice%1:09:00::', 'notice%1:10:04::']","['an announcement containing information about an event; ; ; ""a notice of sale', 'polite or favorable attention', 'the act of noticing or paying attention', 'a short critical review']",[0]
d001.s050.t007,The secretary 's tone indicated that an appointment at such short notice [TGT] was [TGT] a concession for which Madden should be duly grateful .,"['be%2:42:04::', 'be%2:42:09::', 'be%2:42:06::', 'be%2:42:01::']","['happen, occur, take place', 'be priced at', 'be identical to; be someone or something', 'have life, be alive']",[2]
d001.s050.t008,The secretary 's tone indicated that an appointment at such short notice was a [TGT] concession [TGT] for which Madden should be duly grateful .,"['concession%1:10:00::', 'concession%1:10:01::', 'concession%1:10:02::']","['a contract granting the right to operate a subsidiary business', 'a point conceded or yielded', 'the act of conceding or yielding']",[2]
d001.s050.t009,The secretary 's tone indicated that an appointment at such short notice was a concession for which [TGT] Madden [TGT] should be duly grateful .,"['person%1:10:00::', 'person%1:03:00::', 'person%1:08:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being', 'a human body (usually including the clothing)']",[1]
