id,sentence,sense_keys,glosses,target
d000.s110.t006,He began to wish that he had n't shouted that other evening when the truck [TGT] bore down [TGT] through the crossing .,"['bear_down%2:35:01::', 'bear_down%2:32:01::', 'bear_down%2:33:03::', 'bear_down%2:32:12::', 'bear_down%2:35:00::', 'bear_down%2:33:00::']","['contract the abdominal muscles during childbirth to ease delivery', 'exert a force or cause a strain upon', 'to make a rush at or sudden attack upon, as in battle', 'pay special attention to', 'exert a force with a heavy weight', 'exert full strength']",[2]
d000.s110.t007,He began to wish that he had n't shouted that other evening when the truck bore down through the [TGT] crossing [TGT] .,"['crossing%1:15:00::', 'crossing%1:04:02::', 'crossing%1:17:00::', 'crossing%1:06:01::', 'crossing%1:04:00::', 'crossing%1:06:00::', 'crossing%1:04:01::']","['a point where two lines (paths or arcs etc.) intersect', '(genetics) the act of mixing different species or varieties of animals or plants and thus to produce hybrids', 'a shallow area in a stream that can be forded', 'a junction where one street or road crosses another', 'a voyage across a body of water (usually across the Atlantic Ocean)', 'a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other', 'traveling across']",[3]
d000.s111.t000,Was he going to be [TGT] saddled [TGT] from now on with a creep for a bar-buddy ?,"['saddle%2:32:00::', 'saddle%2:35:01::', 'saddle%2:35:10::']","['impose a task upon, assign a responsibility to', 'put a saddle on', 'load or burden; encumber']",[2]
d000.s111.t001,Was he going to be saddled from now on with a [TGT] creep [TGT] for a bar-buddy ?,"['creep%1:11:00::', 'creep%1:06:00::', 'creep%1:04:00::', 'creep%1:18:00::']","['a slow longitudinal movement or deformation', 'a pen that is fenced so that young animals can enter but adults cannot', 'a slow mode of locomotion on hands and knees or dragging the body', 'someone unpleasantly strange or eccentric']",[3]
d000.s111.t002,Was he going to be saddled from now on with a creep for a [TGT] bar-buddy [TGT] ?,"['bar%1:06:01::', 'bar%1:06:08::', 'bar%1:14:00::', 'bar%1:06:06::', 'bar%1:06:00::', 'bar%1:07:00::', 'bar%1:06:09::', 'bar%1:06:05::', 'bar%1:10:00::', 'bar%1:17:00::', 'bar%1:06:02::', 'bar%1:06:04::', 'bar%1:23:00::', 'bar%1:06:07::', 'bar%1:04:00::']","['a portable .30 caliber automatic rifle operated by gas pressure and fed by cartridges from a magazine; used by United States troops in World War I and in World War II and in the Korean War', 'a heating element in an electric fire', 'the body of individuals qualified to practice law in a particular jurisdiction', 'a block of solid substance (such as soap or wax)', 'a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon', 'a narrow marking of a different color or texture from the background', 'a horizontal rod that serves as a support for gymnasts as they perform exercises', 'a counter where you can obtain food or drink', 'musical notation for a repeating pattern of musical beats', 'a submerged (or partly submerged) ridge in a river or along a shore', 'an obstruction (usually metal) placed at the top of a goal', 'a room or establishment where alcoholic drinks are served over a counter', '(meteorology) a unit of pressure equal to a million dynes per square centimeter', '(law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case is tried', 'the act of preventing']",[11]
d000.s112.t000,He 'd have to [TGT] start [TGT] going to some of the other places again .,"['start%2:36:01::', 'start%2:38:02::', 'start%2:41:00::', 'start%2:36:00::', 'start%2:42:03::', 'start%2:42:00::', 'start%2:38:04::', 'start%2:30:01::', 'start%2:41:04::', 'start%2:30:00::', 'start%2:38:00::', 'start%2:38:03::', 'start%2:33:00::', 'start%2:38:01::']","['get off the ground', 'leave', 'begin work or acting in a certain capacity, office or job', 'bring into being', 'have a beginning characterized in some specified way', 'have a beginning, in a temporal, spatial, or evaluative sense', 'move or jump suddenly, as if in surprise or alarm', 'set in motion, cause to start', 'begin an event that is implied and limited by the nature or inherent function of the direct object', 'take the first step or steps in carrying out an action', 'begin or set in motion', 'bulge outward', 'play in the starting lineup', 'get going or set in motion']",[7]
d000.s112.t001,He 'd have to start [TGT] going [TGT] to some of the other places again .,"['go%2:42:11::', 'go%2:41:00::', 'go%2:39:00::', 'go%2:42:10::', 'go%2:31:12::', 'go%2:42:14::', 'go%2:35:00::', 'go%2:33:00::', 'go%2:30:04::', 'go%2:42:13::', 'go%2:35:13::', 'go%2:34:00::', 'go%2:42:12::', 'go%2:38:00::', 'go%2:30:02::', 'go%2:42:04::', 'go%2:42:05::', 'go%2:30:03::', 'go%2:30:00::', 'go%2:30:01::', 'go%2:34:09::', 'go%2:42:02::', 'go%2:30:08::', 'go%2:42:07::', 'go%2:42:03::', 'go%2:42:08::', 'go%2:42:00::', 'go%2:38:09::', 'go%2:42:06::', 'go%2:38:01::']","['blend or harmonize', 'follow a procedure or take a course', 'make a certain noise or sound', 'be ranked or compare', 'give support (to) or make a choice (of) one out of a group or number', 'continue to live through hardship or adversity', 'perform as expected when applied', ""have a turn; make one's move in a game"", 'enter or assume a certain state or condition', 'be contained in', ""go through in search of something; search through someone's belongings in an unauthorized way"", 'to be spent or finished', 'be sounded, played, or expressed', 'change location; move, travel, or proceed, also metaphorically', 'progress by being changed', 'be in the right place or situation', 'be the right size or shape; fit correctly or as desired', 'stop operating or functioning', 'pass from physical life and lose all bodily attributes and functions necessary to sustain life', 'follow a certain course', 'be spent', 'have a particular form', 'be abolished or discarded', 'be or continue to be in a certain condition', 'pass, fare, or elapse; of a certain state of affairs or action', 'lead, extend, or afford access', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'begin or set in motion', 'be awarded; be allotted', 'move away from a place into another direction']",[13]
d000.s112.t002,He 'd have to start going to some of the [TGT] other [TGT] places again .,"['other%3:00:00::', 'other%5:00:00:past:00', 'other%5:00:02:past:00', 'other%5:00:00:strange:00']","['not the same one or ones already mentioned or implied; - the White Queen', 'recently past', 'belonging to the distant past', 'very unusual; different in character or quality from the normal or expected; - Lance Morrow']",[0]
d000.s112.t003,He 'd have to start going to some of the other [TGT] places [TGT] again .,"['place%1:15:05::', 'place%1:04:01::', 'place%1:26:02::', 'place%1:15:01::', 'place%1:15:06::', 'place%1:15:04::', 'place%1:04:00::', 'place%1:10:00::', 'place%1:10:02::', 'place%1:10:01::', 'place%1:15:02::', 'place%1:15:00::', 'place%1:26:01::', 'place%1:15:03::', 'place%1:26:00::', 'place%1:09:00::']","['the particular portion of space occupied by something', 'the post or function properly or customarily occupied or served by another', 'proper or appropriate position or location', 'a general vicinity', 'where you live at a particular time', 'any area set aside for a particular purpose', 'a job in an organization', 'the passage that is being read', 'an item on a list or in a sequence', 'a blank area', 'a public square with room for pedestrians', 'a point located with respect to surface features of some region', 'a particular situation', 'a space reserved for sitting (as in a theater or on a train or airplane)', 'proper or designated social situation', 'an abstract mental location']",[5]
d000.s113.t000,"In a [TGT] low [TGT] voice , almost whispering , the man had asked Phil if he was happy with the way the landlord had been taken off his back .","['low%5:00:00:insufficient:00', 'low%5:00:00:inferior:01', 'low%5:00:00:humble:00', 'low%3:00:02::', 'low%5:00:00:dejected:00', 'low%5:00:00:soft:04', 'low%3:00:03::', 'low%5:00:00:contemptible:00', 'low%3:00:01::', 'low%5:00:00:unrefined:01']","['no longer sufficient', 'low or inferior in station or quality', 'subdued or brought low in condition or status', 'less than normal in degree or intensity or amount', 'filled with melancholy and despondency', 'very low in volume', 'used of sounds and voices; low in pitch or frequency', 'of the most contemptible kind', 'literal meanings; being at or having a relatively small elevation or upward extension', 'unrefined in character']",[5]
d000.s113.t001,"In a low [TGT] voice [TGT] , almost whispering , the man had asked Phil if he was happy with the way the landlord had been taken off his back .","['voice%1:10:01::', 'voice%1:04:00::', 'voice%1:24:00::', 'voice%1:07:00::', 'voice%1:18:01::', 'voice%1:18:00::', 'voice%1:10:03::', 'voice%1:11:00::', 'voice%1:10:02::', 'voice%1:10:00::', 'voice%1:07:01::']","['expressing in coherent verbal form', 'a means or agency by which something is expressed or communicated', '(linguistics) the grammatical relation (active or passive) of the grammatical subject of a verb to the action that the verb denotes', ""the distinctive quality or pitch or condition of a person's speech"", '(metonymy) a singer', ""an advocate who represents someone else's policy or purpose"", 'something suggestive of speech in being a medium of expression', 'a sound suggestive of a vocal utterance', 'the melody carried by a particular voice or instrument in polyphonic music', 'the sound made by the vibration of vocal folds modified by the resonance of the vocal tract', 'the ability to speak']",[3]
d000.s113.t002,"In a low voice , almost [TGT] whispering [TGT] , the man had asked Phil if he was happy with the way the landlord had been taken off his back .",['whisper%2:32:00::'],['speak softly; in a low voice'],[0]
d000.s113.t003,"In a low voice , almost whispering , the [TGT] man [TGT] had asked Phil if he was happy with the way the landlord had been taken off his back .","['man%1:18:06::', 'man%1:05:01::', 'man%1:18:00::', 'man%1:15:00::', 'man%1:05:00::', 'man%1:18:03::', 'man%1:18:07::', 'man%1:18:05::', 'man%1:18:08::', 'man%1:18:04::', 'man%1:06:00::']","['an adult male person who has a manly character (virile and courageous competent)', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'one of the British Isles in the Irish Sea', 'all of the living human inhabitants of the earth', 'someone who serves in the armed forces; a member of a military force', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'a manservant who acts as a personal attendant to his employer', 'a male subordinate', 'the generic use of the word to refer to any human being', 'game equipment consisting of an object used in playing certain board games']",[2]
d000.s113.t004,"In a low voice , almost whispering , the man had [TGT] asked [TGT] Phil if he was happy with the way the landlord had been taken off his back .","['ask%2:32:02::', 'ask%2:32:09::', 'ask%2:32:04::', 'ask%2:32:01::', 'ask%2:42:00::', 'ask%2:32:00::', 'ask%2:32:05::']","['direct or put; seek an answer to', 'require or ask for as a price or condition', 'address a question to and expect an answer from', 'make a request or demand for something to somebody', 'require as useful, just, or proper', 'inquire about', 'consider obligatory; request and expect']","[0, 2]"
d000.s113.t005,"In a low voice , almost whispering , the man had asked Phil if he was [TGT] happy [TGT] with the way the landlord had been taken off his back .","['happy%5:00:00:fortunate:00', 'happy%5:00:00:willing:00', 'happy%3:00:00::', 'happy%5:00:00:felicitous:00']","['marked by good fortune', 'eagerly disposed to act or to be of service', 'enjoying or showing or marked by joy or pleasure', 'well expressed and to the point']",[2]
d000.s113.t006,"In a low voice , almost whispering , the man had asked Phil if he was happy with the [TGT] way [TGT] the landlord had been taken off his back .","['way%1:09:01::', 'way%1:06:00::', 'way%1:15:00::', 'way%1:23:00::', 'way%1:26:00::', 'way%1:09:00::', 'way%1:21:00::', 'way%1:04:01::', 'way%1:04:00::', 'way%1:07:01::', 'way%1:04:02::', 'way%1:07:02::']","[""a general category of things; used in the expression `in the way of'"", 'any artifact consisting of a road or path affording passage from one place to another', 'a line leading to a place or point', 'space for movement', 'the condition of things generally', 'doing as one pleases or chooses', 'a portion of something divided into shares', 'how a result is obtained or an end is achieved', 'a course of conduct', 'how something is done or how it happens', 'a journey or passage', 'the property of distance in general']",[9]
d000.s113.t007,"In a low voice , almost whispering , the man had asked Phil if he was happy with the way the [TGT] landlord [TGT] had been taken off his back .",['landlord%1:18:00::'],['a landowner who leases to others'],[0]
d000.s113.t008,"In a low voice , almost whispering , the man had asked Phil if he was happy with the way the landlord had been [TGT] taken off [TGT] his back .","['take_off%2:36:00::', 'take_off%2:38:00::', 'take_off%2:35:00::', 'take_off%2:38:02::', 'take_off%2:41:00::', 'take_off%2:29:03::', 'take_off%2:30:00::', 'take_off%2:38:01::', 'take_off%2:31:00::']","['mimic or imitate in an amusing or satirical manner', 'leave', 'prove fatal', 'depart from the ground', 'take time off from work; stop working temporarily', 'remove clothes', 'take away or remove', 'get started or set in motion, used figuratively', 'make a subtraction']",[6]
d000.s113.t009,"In a low voice , almost whispering , the man had asked Phil if he was happy with the way the landlord had been taken off his [TGT] back [TGT] .","['back%1:04:00::', 'back%1:06:00::', 'back%1:06:02::', 'back%1:18:00::', 'back%1:06:03::', 'back%1:08:01::', 'back%1:08:00::', 'back%1:06:01::', 'back%1:15:02::']","['(American football) the position of a player on a football team who is stationed behind the line of scrimmage', 'the side that goes last or is not normally seen', 'the part of a garment that covers the back of your body', '(football) a person who plays in the backfield', 'the protective covering on the front, back, and spine of a book', 'the series of vertebrae forming the axis of the skeleton and protecting the spinal cord', 'the posterior part of a human (or animal) body from the neck to the end of the spine', 'a support that you can lean against while sitting', 'the part of something that is furthest from the normal viewer']",[6]
d000.s114.t000,"He [TGT] made [TGT] the mistake of answering in an offhand way , and instantly realized that his skepticism must have showed in his face or voice .","['make%2:38:00::', 'make%2:36:01::', 'make%2:36:15::', 'make%2:40:02::', 'make%2:36:04::', 'make%2:29:08::', 'make%2:29:01::', 'make%2:38:15::', 'make%2:30:02::', 'make%2:36:09::', 'make%2:30:12::', 'make%2:35:13::', 'make%2:36:11::', 'make%2:41:01::', 'make%2:29:00::', 'make%2:29:06::', 'make%2:31:13::', 'make%2:42:15::', 'make%2:38:02::', 'make%2:39:12::', 'make%2:42:11::', 'make%2:40:01::', 'make%2:41:13::', 'make%2:42:05::', 'make%2:31:00::', 'make%2:32:00::', 'make%2:36:07::', 'make%2:30:14::', 'make%2:30:10::', 'make%2:30:00::', 'make%2:42:13::', 'make%2:36:00::', 'make%2:31:10::', 'make%2:32:14::', 'make%2:36:05::', 'make%2:32:09::', 'make%2:42:12::', 'make%2:41:00::', 'make%2:38:05::', 'make%2:36:08::', 'make%2:36:10::', 'make%2:36:12::', 'make%2:30:15::', 'make%2:41:03::', 'make%2:36:13::', 'make%2:31:12::', 'make%2:38:10::', 'make%2:42:09::', 'make%2:42:00::']","['reach a destination, either real or abstract', 'create or manufacture a man-made product', 'compel or make somebody or something to act in a certain way', 'achieve a point or goal', 'organize or be responsible for', 'act in a certain way so as to acquire', 'eliminate urine', 'reach in time', 'put in order or neaten', 'create by artistic means', 'develop into', 'induce to have sex', 'make by shaping or bringing together constituents', 'form by assembling individuals or constituents', 'have a bowel movement', 'behave in a certain way', 'institute, enact, or establish', 'constitute the essence of', 'reach a goal, e.g.,', 'appear to begin an activity', 'amount to', 'earn on some commercial or business transaction; earn as salary or wages', 'carry out or commit', 'to compose or represent:', 'make, formulate, or derive in the mind', 'cause to do; cause to act in a specified manner', 'prepare for eating by applying heat', 'favor the development of', 'cause to be enjoyable or pleasurable', 'give certain properties to something', 'be suitable for', 'make or cause to be or to become', 'consider as being', 'assure the success of', 'create or design, often in a certain way', 'represent fictitiously, as in a play, or pretend to be or act like', 'add up to', 'engage in', 'head into a specified direction', 'give rise to; cause to happen or occur, not always intentionally', 'gather and light the materials for', 'perform or carry out', 'change from one form into another', 'charge with a function; charge to be', 'make by combining materials and parts', 'calculate as being', 'proceed along a path', 'undergo fabrication or creation', 'be or be capable of being changed or made into']",[22]
d000.s114.t001,"He made the [TGT] mistake [TGT] of answering in an offhand way , and instantly realized that his skepticism must have showed in his face or voice .","['mistake%1:09:00::', 'mistake%1:10:00::', 'mistake%1:04:00::']","['an understanding of something that is not correct', 'part of a statement that is not correct', 'a wrong action attributable to bad judgment or ignorance or inattention']",[2]
d000.s114.t002,"He made the mistake of [TGT] answering [TGT] in an offhand way , and instantly realized that his skepticism must have showed in his face or voice .","['answer%2:31:03::', 'answer%2:31:02::', 'answer%2:42:01::', 'answer%2:31:00::', 'answer%2:42:00::', 'answer%2:32:06::', 'answer%2:42:02::', 'answer%2:34:00::', 'answer%2:31:05::', 'answer%2:32:00::']","['understand the meaning of', 'respond to a signal', 'be liable or accountable', 'give the correct answer or solution to', 'match or correspond', 'give a defence or refutation of (a charge) or in (an argument)', 'be sufficient; be adequate, either in quality or quantity', 'be satisfactory for; meet the requirements of or serve the purpose of', 'react to a stimulus or command', 'react verbally']",[9]
d000.s114.t003,"He made the mistake of answering in an [TGT] offhand [TGT] way , and instantly realized that his skepticism must have showed in his face or voice .","['offhand%5:00:00:unprepared:00', 'offhand%5:00:00:careless:00']","['with little or no preparation or forethought', 'casually thoughtless or inconsiderate']",[1]
d000.s114.t004,"He made the mistake of answering in an offhand [TGT] way [TGT] , and instantly realized that his skepticism must have showed in his face or voice .","['way%1:09:01::', 'way%1:06:00::', 'way%1:15:00::', 'way%1:23:00::', 'way%1:26:00::', 'way%1:09:00::', 'way%1:21:00::', 'way%1:04:01::', 'way%1:04:00::', 'way%1:07:01::', 'way%1:04:02::', 'way%1:07:02::']","[""a general category of things; used in the expression `in the way of'"", 'any artifact consisting of a road or path affording passage from one place to another', 'a line leading to a place or point', 'space for movement', 'the condition of things generally', 'doing as one pleases or chooses', 'a portion of something divided into shares', 'how a result is obtained or an end is achieved', 'a course of conduct', 'how something is done or how it happens', 'a journey or passage', 'the property of distance in general']",[9]
d000.s114.t005,"He made the mistake of answering in an offhand way , and instantly [TGT] realized [TGT] that his skepticism must have showed in his face or voice .","['realize%2:31:00::', 'realize%2:31:01::', 'realize%2:40:01::', 'realize%2:36:07::', 'realize%2:36:00::', 'realize%2:40:00::']","['perceive (an idea or situation) mentally', 'be fully aware or cognizant of', 'earn on some commercial or business transaction; earn as salary or wages', 'expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass', 'make real or concrete; give reality or substance to', 'convert into cash; of goods and property']",[0]
d000.s114.t006,"He made the mistake of answering in an offhand way , and instantly realized that his [TGT] skepticism [TGT] must have showed in his face or voice .","['skepticism%1:09:00::', 'skepticism%1:09:01::']","['doubt about the truth of something', 'the disbelief in any claims of ultimate knowledge']",[0]
d000.s114.t007,"He made the mistake of answering in an offhand way , and instantly realized that his skepticism must have [TGT] showed [TGT] in his face or voice .","['show%2:32:04::', 'show%2:36:00::', 'show%2:33:00::', 'show%2:39:01::', 'show%2:31:00::', 'show%2:32:00::', 'show%2:32:02::', 'show%2:32:01::', 'show%2:32:03::', 'show%2:39:02::', 'show%2:38:00::', 'show%2:39:00::']","['indicate a certain reading; of gauges and instruments', 'show in, or as in, a picture', 'finish third or better in a horse or dog race', 'be or become visible or noticeable', 'establish the validity of something, as by an example, explanation or experiment', 'provide evidence for', 'give expression to', 'indicate a place, direction, person, or thing; either spatially or figuratively', 'give evidence of, as of records', 'give an exhibition of to an interested audience', 'take (someone) to their seats, as in theaters or auditoriums', 'make visible or noticeable']",[6]
d000.s114.t008,"He made the mistake of answering in an offhand way , and instantly realized that his skepticism must have showed in his [TGT] face [TGT] or voice .","['face%1:18:00::', 'face%1:07:00::', 'face%1:08:00::', 'face%1:06:02::', 'face%1:10:01::', 'face%1:06:01::', 'face%1:15:00::', 'face%1:07:01::', 'face%1:07:03::', 'face%1:07:02::', 'face%1:10:00::', 'face%1:08:01::', 'face%1:06:00::']","['a part of a person that is used to refer to a person', 'the general outward appearance of something', 'the front of the human head from the forehead to the chin and ear to ear', 'the striking or working surface of an implement', 'a contorted facial expression', 'the side upon which the use of a thing depends (usually the most prominent surface of an object)', 'a surface forming part of the outside of an object', 'status in the eyes of others', ""the feelings expressed on a person's face"", 'impudent aggressiveness', 'a specific size and style of type within a type family', 'the part of an animal corresponding to the human face', 'a vertical surface of a building or cliff']",[8]
d000.s114.t009,"He made the mistake of answering in an offhand way , and instantly realized that his skepticism must have showed in his face or [TGT] voice [TGT] .","['voice%1:10:01::', 'voice%1:04:00::', 'voice%1:24:00::', 'voice%1:07:00::', 'voice%1:18:01::', 'voice%1:18:00::', 'voice%1:10:03::', 'voice%1:11:00::', 'voice%1:10:02::', 'voice%1:10:00::', 'voice%1:07:01::']","['expressing in coherent verbal form', 'a means or agency by which something is expressed or communicated', '(linguistics) the grammatical relation (active or passive) of the grammatical subject of a verb to the action that the verb denotes', ""the distinctive quality or pitch or condition of a person's speech"", '(metonymy) a singer', ""an advocate who represents someone else's policy or purpose"", 'something suggestive of speech in being a medium of expression', 'a sound suggestive of a vocal utterance', 'the melody carried by a particular voice or instrument in polyphonic music', 'the sound made by the vibration of vocal folds modified by the resonance of the vocal tract', 'the ability to speak']",[3]
d000.s115.t000,"Pete [TGT] frowned [TGT] slightly , then became sad and moody .",['frown%2:29:00::'],"[""look angry or sullen, wrinkle one's forehead, as if to signal disapproval""]",[0]
d000.s115.t001,"Pete frowned slightly , then [TGT] became [TGT] sad and moody .","['become%2:30:00::', 'become%2:42:00::', 'become%2:42:01::', 'become%2:42:03::']","['enter or assume a certain state or condition', 'come into existence', 'undergo a change or development', 'enhance the appearance of']",[0]
d000.s115.t002,"Pete frowned slightly , then became [TGT] sad [TGT] and moody .","['sad%5:00:00:sorrowful:00', 'sad%5:00:00:bad:00', 'sad%3:00:00::']","['of things that make you feel sad; ; ; ; - Christina Rossetti', 'bad; unfortunate', 'experiencing or showing sorrow or unhappiness; ; - Christina Rossetti']",[2]
d000.s115.t003,"Pete frowned slightly , then became sad and [TGT] moody [TGT] .","['moody%5:00:00:ill-natured:00', 'moody%5:00:00:emotional:00']","['showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven', 'subject to sharply varying moods']",[0]
d000.s116.t000,"Haney did n't [TGT] want [TGT] to encourage his company , but felt he ought to buy him a drink anyhow , to prevent possible trouble .","['want%2:34:00::', 'want%2:31:01::', 'want%2:35:00::', 'want%2:37:00::', 'want%2:42:01::']","['have need of', 'wish or demand the presence of', 'hunt or look for; want for a particular reason', 'feel or have a desire for; want strongly', 'be without, lack; be deficient in']",[3]
d000.s116.t001,"Haney did n't want to [TGT] encourage [TGT] his company , but felt he ought to buy him a drink anyhow , to prevent possible trouble .","['encourage%2:32:00::', 'encourage%2:37:00::', 'encourage%2:41:00::']","['spur on', 'inspire with confidence; give hope or courage to', 'contribute to the progress or growth of']",[0]
d000.s116.t002,"Haney did n't want to encourage his [TGT] company [TGT] , but felt he ought to buy him a drink anyhow , to prevent possible trouble .","['company%1:14:05::', 'company%1:14:01::', 'company%1:18:00::', 'company%1:14:02::', 'company%1:14:06::', 'company%1:14:00::', 'company%1:14:04::', 'company%1:26:00::', 'company%1:14:03::']","['a unit of firefighters including their equipment', 'an institution created to conduct business', 'a social or business visitor', 'organization of performers and associated personnel (especially theatrical)', 'a band of people associated temporarily in some activity', 'a social gathering of guests or companions', 'crew of a ship including the officers; the whole force or personnel of a ship', 'the state of being with someone', 'small military unit; usually two or three platoons']",[7]
d000.s116.t003,"Haney did n't want to encourage his company , but [TGT] felt [TGT] he ought to buy him a drink anyhow , to prevent possible trouble .","['feel%2:39:09::', 'feel%2:35:00::', 'feel%2:29:00::', 'feel%2:31:01::', 'feel%2:31:00::', 'feel%2:42:00::', 'feel%2:37:00::', 'feel%2:39:00::', 'feel%2:35:01::', 'feel%2:39:01::', 'feel%2:40:00::', 'feel%2:35:11::', 'feel%2:39:10::']","['produce a certain impression', 'examine by touch', 'be conscious of a physical, mental, or emotional state', ""have a feeling or perception about oneself in reaction to someone's behavior or attitude"", 'come to believe on the basis of emotion, intuitions, or indefinite grounds', 'be felt or perceived in a certain way', 'undergo an emotional sensation or be in a particular state of mind', 'perceive by a physical sensation, e.g., coming from the skin or muscles', 'examine (a body part) by palpation', 'undergo passive experience of:', 'find by testing or cautious exploration', ""pass one's hands over the sexual organs of"", 'grope or feel in search of something']",[4]
d000.s116.t004,"Haney did n't want to encourage his company , but felt he ought to [TGT] buy [TGT] him a drink anyhow , to prevent possible trouble .","['buy%2:40:03::', 'buy%2:31:09::', 'buy%2:42:00::', 'buy%2:40:02::', 'buy%2:40:00::']","['acquire by trade or sacrifice or exchange', 'accept as true', 'be worth or be capable of buying', 'make illegal payments to in exchange for favors or influence', 'obtain by purchase; acquire by means of a financial transaction']",[4]
d000.s116.t005,"Haney did n't want to encourage his company , but felt he ought to buy him a [TGT] drink [TGT] anyhow , to prevent possible trouble .","['drink%1:04:00::', 'drink%1:04:01::', 'drink%1:13:04::', 'drink%1:13:00::', 'drink%1:17:00::']","['the act of drinking alcoholic beverages to excess', 'the act of swallowing', 'a single serving of a beverage', 'any liquid suitable for drinking', 'any large deep body of water']",[2]
d000.s116.t006,"Haney did n't want to encourage his company , but felt he ought to buy him a drink anyhow , to [TGT] prevent [TGT] possible trouble .","['prevent%2:41:00::', 'prevent%2:41:01::']","['stop (someone or something) from doing something or being in a certain state', 'keep from happening or arising; make impossible']",[1]
d000.s116.t007,"Haney did n't want to encourage his company , but felt he ought to buy him a drink anyhow , to prevent [TGT] possible [TGT] trouble .","['possible%3:00:04::', 'possible%3:00:00::']","['existing in possibility', 'capable of happening or existing']",[0]
d000.s116.t008,"Haney did n't want to encourage his company , but felt he ought to buy him a drink anyhow , to prevent possible [TGT] trouble [TGT] .","['trouble%1:26:02::', 'trouble%1:11:01::', 'trouble%1:11:00::', 'trouble%1:12:03::', 'trouble%1:09:00::', 'trouble%1:04:02::']","['an unwanted pregnancy', 'an angry disturbance', 'an event causing distress or pain', 'a strong feeling of anxiety', 'a source of difficulty', 'an effort that is inconvenient']",[1]
d000.s117.t000,But there was no [TGT] trouble [TGT] .,"['trouble%1:26:02::', 'trouble%1:11:01::', 'trouble%1:11:00::', 'trouble%1:12:03::', 'trouble%1:09:00::', 'trouble%1:04:02::']","['an unwanted pregnancy', 'an angry disturbance', 'an event causing distress or pain', 'a strong feeling of anxiety', 'a source of difficulty', 'an effort that is inconvenient']",[1]
d000.s118.t000,"The [TGT] guy [TGT] sulked over his drink , obviously upset by Haney 's lack of appreciation .","['guy%1:06:00::', 'guy%1:18:00::', 'guy%1:06:01::']","['a cable, wire, or rope that is used to brace something (especially a tent)', 'an informal term for a youth or man', 'an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day']",[1]
d000.s118.t001,"The guy [TGT] sulked [TGT] over his drink , obviously upset by Haney 's lack of appreciation .",['sulk%2:42:00::'],"[""be in a huff and display one's displeasure""]",[0]
d000.s118.t002,"The guy sulked over his [TGT] drink [TGT] , obviously upset by Haney 's lack of appreciation .","['drink%1:04:00::', 'drink%1:04:01::', 'drink%1:13:04::', 'drink%1:13:00::', 'drink%1:17:00::']","['the act of drinking alcoholic beverages to excess', 'the act of swallowing', 'a single serving of a beverage', 'any liquid suitable for drinking', 'any large deep body of water']",[2]
d000.s118.t003,"The guy sulked over his drink , obviously [TGT] upset [TGT] by Haney 's lack of appreciation .","['upset%2:37:01::', 'upset%2:30:00::', 'upset%2:38:00::', 'upset%2:33:00::', 'upset%2:35:00::', 'upset%2:37:00::']","[""cause to lose one's composure"", 'disturb the balance or stability of', 'cause to overturn from an upright or normal position', 'defeat suddenly and unexpectedly', 'form metals with a swage', 'move deeply']",[0]
d000.s118.t004,"The guy sulked over his drink , obviously upset by Haney 's [TGT] lack [TGT] of appreciation .",['lack%1:26:00::'],['the state of needing something that is absent or unavailable'],[0]
d000.s118.t005,"The guy sulked over his drink , obviously upset by Haney 's lack of [TGT] appreciation [TGT] .","['appreciation%1:04:01::', 'appreciation%1:09:01::', 'appreciation%1:04:00::', 'appreciation%1:10:00::', 'appreciation%1:09:00::']","['an increase in price or value', 'delicate discrimination (especially of aesthetic values)', 'a favorable judgment', 'an expression of gratitude', 'understanding of the nature or meaning or quality or magnitude of something']",[3]
